public_date,user_name,review_text
4 months ago,R Kirkman,My favorite store to shop
4 months ago,Lil Anglin,Wonderful as always.
4 months ago,Paula Ballantyne,This is my go to store and has been for many years. Since mask policy came into effect in stores I have seen Zehrs allow too many people shopping without a mask. Why is this allowed? Other grocery stores have zero tolerance. Wear a mask or shop somewhere else. I expect the same from Zehrs. Please protect your customers.
4 months ago,Gregory Hanson,Store on big bay point rd. Did not have adequate  inventory  of sale item salmon on display. When inquired about item was told would have to wait for staff to come back to cover dept.  Large store for only 1 employee in a dept.
4 months ago,Lee Takahashi,Clean and good location!
4 months ago,Daëmon,High prices but fresh. Staff could be nicer imo...
4 months ago,glenn tolkacz,They have good savings on food.
5 months ago,Tiia Perkins,A bit on the expensive side...
5 months ago,rob trybuch,"Great selection, great covid controls, my favorite place to grocery shop in Barrie!"
5 months ago,Phil V,Ok place to shop
5 months ago,Beverly Talon,Prices are needed on shelves...
5 months ago,Craig Ivory,It's better to buy your booze here than throw it was at a unionized gov't monopoly.
5 months ago,Kari Smith,Always very friendly cashiers! Still get a little confused what section I need to line up in due to covid.
6 months ago,Alyson Morrison,"There is a good variety, out of paper towels and they need more cashiers on a Friday before a long weekend."
6 months ago,Melanie Orr,Well stocked and friendly staff
6 months ago,Jason Rodgers,Click n collect save time don't forget to tip the workers
6 months ago,Guy Pare,"Its clean, friendly staff . Coffee is great. Snacks & sandwiches are better than the large chain coffee shops"
6 months ago,shelley sellick,Great service
6 months ago,Stacey Hogan,"Had the worst customer service at the  check out. If you are being served by Tracey, make sure she's in a good head space. She is a good mood changer and not for the better."
6 months ago,Michelle Boston,clean and well maintained as far as COVID protocols go. Staff are really friendly and I seldom find things out of stock that I really need.
6 months ago,CEU MELO,It's an expensive store I don't often go there I must admit I don't have a budget for that kind of pricing so yeah once in a while they have a sale on something and I'll come in and buy it but that's about it
6 months ago,Toni Walker,"I love, love their crispy chicken tenders! The selection is big and everything looks fresh. Even the store associates look like they enjoy their jobs."
6 months ago,Richard Harasewich,"Beautiful stores, great service...some prices a bit high"
6 months ago,Brandon Gonyea,Good place to buy pizza swirls and donuts.
6 months ago,personalwellness services,"Zehras, great place to shop for grocery, always fresh produce we bought steak from Australia that was affordable and tender."
6 months ago,Larry Miller,You realy.dont want to know!!!@
7 months ago,Kim Caldwell,"Many times I've vowed to leave a review here after disappointing experience at this store - finally doing it! Multiple times I've found items ringing through at cashier NOT at the advertised sale price. I wondered if this was a tactic in the summer knowing seasonal residents aren't as likely to check their receipts? When I point the errors out, cashiers simply re-ring it through at the correct price but without even an apology. This has happened at several visits over the past couple of years. I've also been consistently disappointed throughout the pandemic with employees' behaviour - waiting until forced to to wear masks, and not respecting distance. Very different approach towards customers than I've seen at other stores - even the Zehrs on Bryne is more diligent and obliging."
7 months ago,Marquis Black,Great gorcery store
7 months ago,Verna Washington,They have a great variety of items in this store. Prices are a bit high though.
7 months ago,chris rombis,"Beat the deals in Barrie.
Zehrs is my go to when I visit family.
Prepared salads are great value and out of this world delish!!!!
KALE GOATS CHEESE , and PERFECT GREEK.
both at $12.99 inc. 3 pouch dressings
I recommend the SWEET ONION and boost with Cider Vinegar spray on and enjoy.
Chef Chris Rombis"
7 months ago,Trix Verge,"Clean, good selection."
7 months ago,John Wayne,Helpful employees quick service well as quick as it could be
7 months ago,Matt Nicholson,Good selection and good prices
7 months ago,Valerie Lawrence,Clean and well stocked. They do not disinfectant carts anymore that I could see.
7 months ago,K Verbakel,Great location
7 months ago,Anne Trimm,"lots of products, no lineups, follow arrows"
7 months ago,Lisa Marie Robertson,Great produce and meats. Well stocked and clean
7 months ago,Tracy Parker,Clean but VERY with the self check lanes.  VERY SLOW.
7 months ago,Frank Csikos,Fast and friendly service
8 months ago,Catherine Stokes,It was very expensive and they were not enforcing the safety protocols within the store. People were not social distancing and the staff was watching and not saying anything. It was not a good place to safely shop.
8 months ago,Mike McKenzie,"Merchandising has way gone downhill.  Prices missing from many products.  Some shelves empty on special items.  And that bell just has to go!

Increasing from 2 stars to 4.  Merchandising has improved with the new prIce signs and they have done a great job during the pandemic which is very much appreciated."
8 months ago,Kathryn Wilking,"Zehrs is so reliable! Well stocked, fresh fish and meat, huge pharmacy, organic section and (bonus) having a liquor isle, no need to wait in huge lines at the LCBO.
And flowers! Everything under one roof! P.s. they also gift bonus airmiles regularly = free food! Thank you!"
8 months ago,Judy Flear,Shop there all the time. Prices are very reasonable. The people are very friendly and helpful.
8 months ago,Elizabeth Wells,"I Really Love Zehrs! The Stores are Clean, Organized, Has Not Only Good Food but even Clothing and So much More. The Staff is Friendly & Helpful. It has a Pharmacy, too! Check it Out, if you haven't, Yet.
I bet that,.. You'll Love it too!"
8 months ago,Ewa Krasicka,Always good stuff.Fresh!
8 months ago,Andrew Duffett,Very pricey as always
8 months ago,Rafael Chacon,It's ok
8 months ago,Naturefoxx & mommysme B,Packed. Well over 50 people in line ups alone. No one is distancing no one that works there cares about others safety or their workers saftey
8 months ago,Steve K,Groceries are pricier than other stores
8 months ago,Dee Saumure,"Great selection, prices are on par with a larger retail chain (not a discount retailer). Wide isles but not a cluttered store. They have a good point system that gives you cash back on groceries! Friendly staff and a location that is close to home. They have a health food section, pharmacy, Joe Fresh clothing, a florist, a small butcher area (separate but attached to the meat department), and an alcohol section (wine and ciders plus limited selection of beer). Overall a well rounded store."
8 months ago,Jaydeep Patel,Awesome place for grocery shopping
9 months ago,Dianne Duguay,Great selection but very pricey
9 months ago,Behrouz Kashani,"High quality fresh fruits , so clean , great customer service"
9 months ago,Pavel Blits,Clean and friendly...
9 months ago,Jackie Baechler,To pricey for me
9 months ago,Gerald Masney,It was ok
9 months ago,Shaun,It isxadequate. Selection always leans toward PC/No name products.
9 months ago,Rina T,Worse service from staff pouring rain nothing to cover myself and have to walk in the middle of the street to enter from other door. They don’t care if you have problems walking and nothing to protect from weather elements and walking where cars drive just because one way entrance and exit for the whole covid. They need to learn to help protect the custom not make them worse. The staff also has not a clue where anything is.
9 months ago,Reid Couture,"Clean, over priced, every item you want they have though."
9 months ago,Phil Smith,"Though some of the cash staff are great, this store seems to have the worst fruit and vegetable section I've seen in Barrie.   The store is in dire need of an uplift."
9 months ago,Paul McIntyre,"For the most part I like this store except for the older ladies that are cashiers. Most of them have a bad attitude and are downright rude. The younger cashiers are polite and well mannered and the staff throughout the store are fantastic but once you go to cash out and you get one of those older ladies who don’t smile and look miserable, unhappy and make underhanded rude comments and they’re careful so they don’t “seem” rude when they are. If they aren’t happy at their job they should look for another job. Worst zehrs for most miserable older ladies cashiers."
9 months ago,Sheri Tobin,Fresh food and friendly staff
9 months ago,Tammy Charrier,"Still managing self distancing protocols, line sometimes is long but waiting to keep everyone safe, is priority."
10 months ago,Andrea Cardiff,Akash the pharmacist was very helpful and friendly. He took his time explaining to me and was available right away.
10 months ago,Jenna Hayman,"Delicious birthday cake even during covid, and I was able to stop at the Starbucks inside and get a drink too! They had everything I needed and the line went quickly."
10 months ago,Hussein Ashour,I like how clean and fresh that place
10 months ago,Nathaniel Weller,Friendly staff. Clean environment
10 months ago,Gregory McKinnon,At the time I went it was swift in and out and the staff always laugh whether they mean it or not when I Crack a joke.  Nice place to go
10 months ago,Grant Corkery,"This place really needs to renovate their bathrooms. For what they charge, they really need to renovate the washroom. I usage two young daughters and the times I have had to bring them in to the men's washroom I have ended up leaving the store and going home. Absolutely disguising."
