public_date,user_name,review_text
5 months ago,Deborah MacDuffie,"First time there, the prices were good. I definitely go back. Staff were helpful and friendly"
5 months ago,Lou Choi,Good selection of product.
5 months ago,Anto Thomas,"I like this store. They strictly follow Covid safety precautions. Safe place to purchase.
Lots of employees at the counters so that could save time. Thank you guys"
5 months ago,Marina U,"Old price tags are still on sometimes, need to verify your purchase."
5 months ago,glenn boland,"Joe joe joe
Love your store
But why are the self checkout not being wiped down after each customer use. Was at your store today October 30.
Was not impressed"
5 months ago,Mario Bronstein,Love your store.
5 months ago,Andrew Schell,"As busy as it gets at this high volume location, it moves people through quick. It's a No Frills; good prices without the frilly overhead."
5 months ago,William BERTRAND,Great Service Friendly Staff
5 months ago,Monica Russell,"The staff are very helpful here. I'm short, so I frequently have to ask someone to reach something for me.  Always do and always very pleasant about it"
5 months ago,J Lalonde,"Too busy, no social distancing at the checkouts"
5 months ago,Luke Fex,Good prices on groceries but there is a limited selection
5 months ago,Diana Ercia Tesolin,The staff here is unbelievably helpful.  From the cashier to the produce guy Jacob. Great job Thank you. Makes my shopping experience great.
5 months ago,Anita Robinson,Close to home and cheaper than others
5 months ago,john Vanderburgh,"Nice store, great helpfully staff.
Great value and selection."
5 months ago,Google User,Has food
5 months ago,Brittany J,Was super happy they had butterball turkey's still in store before Thanksgiving! Tried 3 different grocery stores before finding them at No Frills.
6 months ago,pierre levesque,Go early to avoid the store traffic.  Good prices and selection of products
6 months ago,Yvonne Dixon-Williams,"Friendly staff, fresh produce, great meat selection!"
6 months ago,Diane Walker-Hoondert,"First time there this morning, and for produce only. I was very impressed with the extensive assortment of ultra fresh vegetables and fruit at very competitive prices!"
6 months ago,Julien Caron,Good prices and great staff
6 months ago,Claudio Costantini,"Clean store, people helpf"
6 months ago,Sam Pre,Always stocked and good deals
6 months ago,Stacey Curry,No organic produce options sadly.Have to drive to the further away Chris's no frill to get my organic meat and veggies.
7 months ago,Dave Henderson,Great selection
7 months ago,Emily Schrader,"It was quite crowded, and a little hard to social distance. Other than that, great experience. The employees were very helpful and friendly, and the selection was immaculate."
7 months ago,eric rodrigues,Great place to shop for stuff!
7 months ago,Rebecca Monkman,Went into buy groceries. They had product sign for one price that scanned for a different price and wouldn't honor the signed pricing. Just a disappointing way to end our grocery shopping.
7 months ago,Alexander Faulds,"Went there today to get tomatoes that was in the flyer for the week and is also in next week's fly so you would think they have them.... No some notice that they do not have the tomatoes from the flyer due to deliver issues so why put it in the next week's flyer , asked the manager and he said may not get them for next week either.... Makes me think of Zellers and how that place never had anything in here flyers either were are they now!!!"
7 months ago,Alliston Rental,Great sale items
7 months ago,Liz Duguay,Always great deals to be had. Managers Specials.
7 months ago,Ivor Needle,Fruit is no good and shelf empty of sale items and not very clean I guess that's how they can lower their price
7 months ago,Joey Rivney,Great help and nice and clean
7 months ago,elizabeth leclair,watch the posted prices vs ads. if the store has the wrong price in the system you get the in item free
7 months ago,Cecilia Blondin,The best place to shop prices are great
7 months ago,Thati Furtado,"The only one, No Frills, that I visited and the prices are different from the flyer."
7 months ago,all about the feline Giles,"Clean store, nice people, well stocked shelves"
