public_date,user_name,review_text
a month ago,罗小凌,"(Translated by Google) I come to Costco once a week, from vegetables 🥬 fruits 🍉 eggs 🥚 various vitamins, shampoo and hair care to four seasons clothing 👔, flowers 🌺...I especially like Israeli grapefruit 😋 good quality 👍 low price 👍 quality assurance 👍 first-class service 👍 Thank you Costco Hard work, thank you 🙌💪💖

(Original)
每周都会来Costco一次，从蔬菜🥬水果🍉鸡蛋🥚各种维生素、洗发护发到四季服装👔、花卉🌺……特别喜欢以色列柚子😋物美👍价廉👍品质保证👍服务一流👍感谢Costco的辛勤付出，谢谢🙌💪💖"
a month ago,Richard Burnside,Great place to shop friendly helpful staff
a month ago,LENA FERTMAN,"Well stocked, clean."
a month ago,Raviteja Addepalli,Super friendly staff!
a month ago,Slava Baider,Excellent product quality and prices
a month ago,me,"Friendly staff, quick lines!"
a month ago,Alicia Lovell,Busy. Line up for around 10 minutes. Other than that...great
a month ago,Jerry Anthony,Friendly staff. Good selection of products. Sometimes not as much as other costco's
a month ago,Sonia Joseph,"Clean, not very crowded and friendly staff. I found everything I went for. Reasonable priced clothes. I love to shop in Costco."
a month ago,Nancy Hebert,"I love, love, love Costco.
My only issue is that I have to travel a ways to shop there."
a month ago,Pedro Villafana,Good place to shop
a month ago,Carlos Ortega,"Best place to do the groceries, good prices (you need the Costco membership). You can also refill fuel (best price than others)"
a month ago,Anna Yufa-Laserson,The staff is very nice
2 months ago,Ashlyn Gargour,"Very busy today, but lines went fast"
2 months ago,Ann Yumul,Staffs are very helpful and quick transaction
2 months ago,Shawn Goodman,Always good prices and quality products. Love the meat department. Take and bake lasagna is amazing.
2 months ago,peter radvanszky,Busy
2 months ago,Gavin Doran,"Nice to see a store still doing senior hour. Fast in, helpful staff, clean store. Recommended!"
2 months ago,roy chen,Love this place.
2 months ago,Sanjeev Mehan,"Just went in for whole pizza and hot dog/pop, quick in and out !"
2 months ago,Dennis Owens,Good prices if you know your prices!
2 months ago,Elina Shamaev,Great place to shop.
2 months ago,Robert Thiessen,"Well organized store, with helpful staff. Check out is brilliant - every register in operation and you are through in short time."
2 months ago,Juan Perez,"Great, no big lines today. Due to snowy conditions"
2 months ago,Samantha D'Souza,"Just your classic Costco
Go in wanting one thing, leave $500 later"
2 months ago,David Macrae,"Great location, always well stocked with helpful employees to guide and assist."
2 months ago,Donna Crossley,With Covid safeguards in place I felt very safe. Line up wasn't bad and everyone was friendly it all worked like a well oiled machine!
2 months ago,Elaine Misson,"Was a big line up but moved very quickly.  Alway find and buy more then what was on our list. Great service, very helpful and friendly people."
2 months ago,Mishka Taylor,"Store is always clean, and staff is extremely helpful!"
2 months ago,Bryan Phillips,Always clean and friendly servive
2 months ago,Ashley Cassibo,Love getting school and work lunches here
2 months ago,Melissa Smith,Lines were long but they moved quickly. Efficient cashiers. Prices not worth it depending on what you're buying..
2 months ago,Ivano Stocco,My favorite place to shop
2 months ago,Michael Bloomer,"Big box store. Watch yourself, lol. You can spend lots of money shopping here. Some great buys some not so great. Everything in one stop."
2 months ago,jermaine thompson,Gas
2 months ago,Don Gruchy,0pen 0800 to 0900 for seniors. Lineups but move fairly fast.
2 months ago,allen goland,With Covid being the main issue I need to congratulate Costco for being very safe and very organized.  Everything moves smoothly   We have shopped in Barrie and Orillia and both stores are doing an excellent job
2 months ago,William BERTRAND,Great Service Friendly Staff
2 months ago,Winnie Crocker,Love Costco!! Always good service and helpful staff!!
2 months ago,Prakash Alimchandani,Love that the lines move fast here whether  it's too get in or at the cash
2 months ago,Manjeet VIRK,Nice place for long term use and if want things in bulk.
2 months ago,Loretta Sellars,It was surprisingly not too bad the day after New Years. Lineups weren't long and got through quickly
3 months ago,Veronica Cowles,The employee's are always nice and helpful.
3 months ago,Melanie Orr,"Friendly staff, well stocked shelves and organized nicely."
3 months ago,John Barnes,Big box store.
3 months ago,Ryan Reynolds,All I wish is that somebody would answer the phone! I just want service from a human please!!!
3 months ago,Square Car Detailing,It was awesome
3 months ago,Marie Tyrcz,"Great staff, fun to see new products."
3 months ago,Jason George Photography,I used to love printing But I made in order in November and  It was to get to me by the sember 15th And it didn't arrive until the 24th and racked all of my Christmas gifts and a  Gift I had for this little girl who stood for the 1st time December 4th period and I am still waiting to hear back about what there going to do to right this wrong and it's now January 2nd period I've heard little response from my emails and phone calls with everybody telling me something different and actually contradicting what the person before me had said Gift I had for this little girl who stood for the 1st time December 4th period and I am still waiting to hear back about what there going to do to right this wrong and it's now January 2nd period I've heard little response from my emails and phone calls with everybody telling me something different and actually contradicting what the person before them had said.... I've alerted closer 2000 prints from them in just December alone and still waiting to hear back what they want me to do with the rest of my orders in future because with this kind of customer service I don't know if I ever want to order from Costco photo again...
3 months ago,Brandon Heckhaus,As good as it could be with COVID-19
3 months ago,Nicole De Sousa,Great place to shop but for god sakes SELL FRESH PRODUCE AND BAGELS.. they’re always about to expire!
3 months ago,Margie McCarthy,The seniors hours are really great! Much appreciated!!
3 months ago,Liavis Vilarino,Great quality and return policy. Something too crowded snd long lines
3 months ago,farshad hafezolkotob,Castco is incredible.
3 months ago,Arlene Scherger,Not too busy around 4 pm
3 months ago,Amanda Smith,Great prices. Clean. Large quantities - can be too much food sometimes. Some packaging is very excessive for what’s inside.
3 months ago,Candace Gouldsborough,Convenient bulk purchasing...not always a deal but easier than having to go back to a regular store multiple times.
3 months ago,Tamer Arslantaş,Good
